                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
       150          -260.61678          47.80751        -212.80927
       151          -260.55741          47.74814        -212.80927
       152          -260.49880          47.68954        -212.80926
       153          -260.44101          47.63175        -212.80926
       154          -260.38409          47.57483        -212.80926
       155          -260.32808          47.51883        -212.80925
       156          -260.27304          47.46378        -212.80925
       157          -260.21901          47.40976        -212.80925
       158          -260.16604          47.35679        -212.80925
       159          -260.11419          47.30494        -212.80924
       160          -260.06350          47.25426        -212.80924
       161          -260.01403          47.20479        -212.80924
       162          -259.96583          47.15659        -212.80924
       163          -259.91893          47.10970        -212.80923
       164          -259.87340          47.06417        -212.80923
       165          -259.82927          47.02004        -212.80923
       166          -259.78659          46.97737        -212.80922
       167          -259.74542          46.93621        -212.80922
       168          -259.70581          46.89659        -212.80922
       169          -259.66779          46.85857        -212.80922
       170          -259.63141          46.82219        -212.80922
       171          -259.59672          46.78751        -212.80921
       172          -259.56375          46.75454        -212.80921
       173          -259.53255          46.72334        -212.80921
       174          -259.50316          46.69396        -212.80920
       175          -259.47562          46.66643        -212.80920
       176          -259.44999          46.64079        -212.80919
       177          -259.42627          46.61709        -212.80919
       178          -259.40453          46.59534        -212.80918
       179          -259.38478          46.57559        -212.80918
       180          -259.36706          46.55788        -212.80918
       181          -259.35140          46.54222        -212.80918
       182          -259.33784          46.52867        -212.80917
       183          -259.32641          46.51724        -212.80917
       184          -259.31715          46.50798        -212.80917
       185          -259.31005          46.50088        -212.80917
       186          -259.30516          46.49599        -212.80917
       187          -259.30249          46.49333        -212.80917
       188          -259.30207          46.49291        -212.80916
       189          -259.30392          46.49475        -212.80916
       190          -259.30804          46.49888        -212.80916
       191          -259.31447          46.50531        -212.80916
       192          -259.32321          46.51405        -212.80916
       193          -259.33427          46.52511        -212.80916
       194          -259.34766          46.53850        -212.80916
       195          -259.36338          46.55422        -212.80916
       196          -259.38145          46.57228        -212.80916
       197          -259.40185          46.59268        -212.80916
       198          -259.42460          46.61543        -212.80917
       199          -259.44969          46.64052        -212.80917
       200          -259.47712          46.66796        -212.80917
       201          -259.50689          46.69772        -212.80917
       202          -259.53897          46.72980        -212.80917
       203          -259.57336          46.76419        -212.80917
       204          -259.61003          46.80086        -212.80917
       205          -259.64898          46.83981        -212.80917
       206          -259.69017          46.88100        -212.80917
       207          -259.73359          46.92442        -212.80917
       208          -259.77921          46.97003        -212.80917
       209          -259.82701          47.01783        -212.80918
       210          -259.87694          47.06776        -212.80918
       211          -259.92899          47.11981        -212.80918
       212          -259.98310          47.17392        -212.80918
       213          -260.03925          47.23007        -212.80918
       214          -260.09739          47.28820        -212.80919
       215          -260.15746          47.34827        -212.80919
       216          -260.21943          47.41024        -212.80919
